market_value,age,height,attacking,technical,tactical,defending,creativity,saves,anticipation,ball_distribution,aerial,avg_score_last_12_months,appearances_last_12_months,point_of_tournament,pos_D,pos_F,pos_G,pos_M,foot_Both,foot_Left,foot_Right,cluster
290,33,184,60,65,40,32,60,0,0,0,0,7.64,20,1346.82,False,False,False,True,True,False,False,8
315,27,182,62,69,35,33,53,0,0,0,0,7.54,22,1346.82,False,False,False,True,False,True,False,6
145,32,180,54,66,37,31,58,0,0,0,0,7.21,21,1346.82,False,False,False,True,False,False,True,2
245,26,184,61,76,31,30,59,0,0,0,0,7.52,21,1346.82,False,False,False,True,False,False,True,2
45,39,187,45,59,36,49,53,0,0,0,0,7.24,21,1346.82,True,False,False,False,False,False,True,3
190,32,182,42,57,41,52,51,0,0,0,0,7.25,22,1346.82,True,False,False,False,False,True,False,5
240,29,195,0,0,18,0,0,51,15,57,55,7.37,15,1346.82,False,False,True,False,False,False,True,0
290,21,174,65,79,42,34,53,0,0,0,0,7.37,22,1346.82,False,True,False,False,False,False,True,4
240,31,192,66,58,55,33,41,0,0,0,0,7.25,21,1346.82,False,True,False,False,False,False,True,4
160,37,186,53,57,49,42,41,0,0,0,0,6.99,17,1346.82,False,True,False,False,False,False,True,4
245,33,173,55,61,48,46,59,0,0,0,0,7.47,22,1346.82,False,False,False,True,False,True,False,6
315,24,181,58,64,43,33,50,0,0,0,0,7.23,23,1346.82,False,False,False,True,False,False,True,2
210,29,188,41,45,41,49,39,0,0,0,0,6.95,26,1346.82,True,False,False,False,False,False,True,3
380,32,186,37,47,55,59,46,0,0,0,0,7.2,22,1346.82,True,False,False,False,False,False,True,3
95,35,194,34,46,52,62,39,0,0,0,0,6.9,20,1346.82,True,False,False,False,False,True,False,5
260,24,186,67,63,59,32,43,0,0,0,0,7.39,31,1341.05,False,True,False,False,False,False,True,4
235,29,173,75,75,55,29,50,0,0,0,0,7.68,27,1341.05,False,True,False,False,True,False,False,1
120,19,178,45,54,36,40,46,0,0,0,0,6.91,22,1341.05,False,False,False,True,False,False,True,2
165,26,173,52,64,37,47,57,0,0,0,0,7.48,28,1341.05,False,False,False,True,False,True,False,6
280,28,178,56,61,36,36,53,0,0,0,0,7.18,26,1341.05,False,False,False,True,False,True,False,6
